name,address,amenities1,amenities2,amenities3,amenities4,amenities5,amenities6,amenities7,amenities8,amenities9,amenities10,rooms1,rooms2,rooms3,rooms4,rooms5,rooms6,price,rating,numReviews,lat,lon
St. Bridgets B & B,"Saint Bridgets Cockhill Road, Buncrana Ireland",5,24,3,3,23,8,58,13,,,201,,,,,,85,4.5,50 reviews,55.140368,-7.450402
Woodlands Country House,"Woodlands House Killineirin, Gorey Ireland",5,31,52,13,,,,,,,201,,,,,, Available Upon Request,5,49 reviews,52.669952,-6.290188
Tallaght Cross Hotel,"Tallaght Cross West Tallaght Cross Hotel BelgardS Square West, Tallaght D24 VX61 Ireland",5,3,1,21,62,83,13,87,,,Mountain view, City view,201,,,,129,5,25 reviews,53.29272,-6.373439
Connemara Lake Hotel,"Market Street, Oughterard 1000 Ireland",5,3,4,1,21,32,57,,,,201,200,,,,, Available Upon Request,4.5,167 reviews,53.427585,-9.324626
Mulcahys Clonmel,"47 Gladstone Street, Clonmel Ireland",6,3,1,75,66,2,62,81,,,201,,,,,,90,3.5,91 reviews,52.3534294,-7.7017236
Oystercatcher Lodge,"Market Square, Carlingford Ireland",6,32,33,63,58,13,57,38,,,201,200,,,,, Available Upon Request,4,91 reviews,54.0410801,-6.1865063
Evergreen House,"The Strand, Youghal Ireland",6,13,47,57,,,,,,,Unknown,,,,,, Available Upon Request,2,55 reviews,51.95,-7.850556
Rougey Lodge,"Main Street, Bundoran Ireland",6,24,3,14,51,40,79,58,,,Unknown,,,,,,60,4.5,34 reviews,54.4810049,-8.2722434
Ilenroy House,"Ilenroy House 10 North Street, Skibbereen Ireland",7,4,8,32,45,13,,,,,Unknown,,,,,,95,4.5,53 reviews,51.551439,-9.264551
Walshs Bridge Inn,"Main Street, Newport Ireland",7,3,1,14,72,35,62,58,,,201,,,,,, Available Upon Request,4,45 reviews,53.8848021,-9.5466736
Myles Creek,"OCurry Street, Kilkee Ireland",7,3,1,36,44,35,62,13,,,201,204,200,205,,,99,3,53 reviews,52.678916,-9.6482718
The Cosy Cottage,"The Cosy Cottage Bath Terrace, Moville Ireland",7,24,3,4,51,32,35,13,,,201,200,,,,,90,4.5,64 reviews,55.191281,-7.041766
Belvedere House,"Belvedere House Newry Street, Carlingford Ireland",7,24,3,4,51,32,13,96,,,201,,,,,,104,4.5,191 reviews,54.042229,-6.187181
Tinsley House B&B,"The Square, Cahir Ireland",7,24,3,3,40,58,13,100,,,201,200,,,,, Available Upon Request,4,51 reviews,52.3748438,-7.9240743
The Waterfront Hotel,"The Square, Baltimore Co. Cork, Baltimore Ireland",7,24,3,1,35,85,58,81,,,203,201,,,,, Available Upon Request,4.5,165 reviews,51.4828101,-9.3748621
Aherlow House B&B,"Rocklands Castlebar, Castlebar Ireland",8,2,,,,,,,,,Unknown,,,,,, Available Upon Request,5,1 review,53.8327073,-9.2734482
Rathaldron Lodge,"Rathaldron Road, Navan Ireland",8,33,45,,,,,,,,Unknown,,,,,,90,5,2 reviews,53.6690334,-6.718426254
Scenic Drive Bed and Breakfast,"Pontoon Road, Foxford Ireland",13,,,,,,,,,,Unknown,,,,,, Available Upon Request,4,1 review,53.862658,-9.297048
The Marker Hotel,"Grand Canal Square Docklands, Dublin 2 Ireland",15,3,9,11,1,14,40,63,,,201,204,,,,, Available Upon Request,4.5,"4,639 reviews",53.3433127,-6.238622685
Fennessys Hotel,"32 Gladstone Street, Clonmel Ireland",15,3,4,77,70,69,71, Photo copier / fax In business centre,,,Mountain view, City view,201,,,,77,3.5,66 reviews,52.3534294,-7.7017236
Maldron Hotel Dublin Airport,"Dublin Airport, Co. Dublin, Ireland, Cloghran K67 T6P6 Ireland",19,3,1,40,63,61, 24-hour security,58,,,201,200,,,,,129,4,"1,803 reviews",53.425798,-6.256756
Maldron Hotel Dublin Airport,"Dublin Airport, Co. Dublin, Ireland, Cloghran K67 T6P6 Ireland",19,3,1,40,63,61, 24-hour security,58,,,201,200,,,,,129,4,"1,803 reviews",53.425798,-6.256756
